NodeId,StartDate,EndDate
1,03/09/2012,03/09/2012
348,01/09/2012,27/11/2015
346,03/09/2012,03/09/2012
5,03/09/2012,03/09/2012
6,03/09/2012,03/09/2012
7,03/09/2012,03/09/2012
8,03/09/2012,03/09/2012
9,03/09/2012,03/09/2012
10,03/09/2012,03/09/2012
11,03/09/2012,03/09/2012
351,03/09/2012,03/09/2012
34,03/09/2012,03/09/2012
35,03/09/2012,03/09/2012
36,03/09/2012,03/09/2012
37,28/01/2013,28/01/2013
350,03/09/2012,03/09/2012
38,29/10/2012,29/10/2012
39,29/10/2012,29/10/2012
40,03/09/2012,03/09/2012
41,03/09/2012,03/09/2012
47,03/09/2012,03/09/2012
48,03/09/2012,03/09/2012
49,03/09/2012,03/09/2012
50,03/09/2012,03/09/2012
51,03/09/2012,03/09/2012
52,03/09/2012,03/09/2012
53,03/09/2012,03/09/2012
54,03/09/2012,03/09/2012
55,03/09/2012,03/09/2012
56,03/09/2012,03/09/2012
57,03/09/2012,03/09/2012
58,03/09/2012,03/09/2012
345,03/09/2012,03/09/2012
12,03/09/2012,03/09/2012
13,03/09/2012,03/09/2012
14,03/09/2012,03/09/2012
15,03/09/2012,03/09/2012
16,03/09/2012,03/09/2012
17,03/09/2012,03/09/2012
18,03/09/2012,03/09/2012
19,03/09/2012,03/09/2012
20,03/09/2012,03/09/2012
21,03/09/2012,03/09/2012
22,03/09/2012,03/09/2012
352,03/09/2012,03/09/2012
23,03/09/2012,03/09/2012
24,03/09/2012,03/09/2012
25,03/09/2012,03/09/2012
26,03/09/2012,03/09/2012
27,03/09/2012,03/09/2012
28,03/09/2012,03/09/2012
353,03/09/2012,03/09/2012
29,03/09/2012,03/09/2012
30,03/09/2012,03/09/2012
354,03/09/2012,03/09/2012
31,03/09/2012,03/09/2012
32,03/09/2012,03/09/2012
33,03/09/2012,03/09/2012
349,03/09/2012,03/09/2012
344,03/09/2012,03/09/2012
59,03/09/2012,03/09/2012
342,03/09/2012,03/09/2012
347,03/09/2012,03/09/2012
343,03/09/2012,03/09/2012
341,03/09/2012,03/09/2012
42,03/09/2012,03/09/2012
43,03/09/2012,03/09/2012
44,03/09/2012,03/09/2012
45,03/09/2012,03/09/2012
46,03/09/2012,03/09/2012
2,03/09/2012,03/09/2012
4,03/09/2012,03/09/2012
3,01/10/2012,01/10/2012
282,05/01/2015,05/01/2015
64,28/07/2014,28/07/2014
283,28/07/2014,28/07/2014
284,28/07/2014,28/07/2014
285,28/07/2014,28/07/2014
67,28/08/2015,28/08/2015
65,03/11/2014,03/11/2014
286,28/09/2012,28/09/2012
287,28/09/2012,28/09/2012
288,28/09/2012,28/09/2012
289,28/09/2012,28/09/2012
290,28/09/2012,28/09/2012
291,28/07/2014,28/07/2014
292,28/07/2014,28/07/2014
72,03/11/2014,03/11/2014
293,03/11/2014,07/11/2014
294,03/11/2014,07/11/2014
295,03/11/2014,07/11/2014
296,03/11/2014,07/11/2014
297,03/11/2014,07/11/2014
298,03/11/2014,07/11/2014
299,03/11/2014,07/11/2014
300,03/11/2014,07/11/2014
301,28/07/2014,28/07/2014
302,28/07/2014,28/07/2014
303,28/07/2014,28/07/2014
73,28/07/2014,28/07/2014
304,28/07/2014,28/07/2014
305,28/07/2014,28/07/2014
306,28/07/2014,28/07/2014
307,28/09/2012,28/09/2012
308,26/07/2013,26/07/2013
309,28/06/2013,28/06/2013
75,27/09/2013,27/09/2013
310,28/07/2014,28/07/2014
311,28/07/2014,28/07/2014
76,28/07/2014,28/07/2014
312,28/07/2014,28/07/2014
313,28/07/2014,28/07/2014
314,28/07/2014,28/07/2014
315,28/07/2014,28/07/2014
316,28/07/2014,28/07/2014
317,28/07/2014,28/07/2014
318,28/07/2014,28/07/2014
70,28/03/2013,28/03/2013
319,28/07/2014,28/07/2014
320,28/07/2014,28/07/2014
321,28/07/2014,28/07/2014
322,28/07/2014,28/07/2014
323,28/07/2014,28/07/2014
324,28/07/2014,28/07/2014
325,28/07/2014,28/07/2014
326,28/07/2014,28/07/2014
327,28/07/2014,28/07/2014
328,28/07/2014,28/07/2014
